year,adult standards,canadian pop,classic rock,classical,dance pop,hip hop,latin,pop,post-teen pop,rap,reggaeton,rock,soul,trap latino
1920,572.0,9.0,175.0,193.0,59.0,34.0,45.0,77.0,31.0,47.0,17.0,148.0,312.0,16.0
1930,1012.0,25.0,262.0,913.0,102.0,62.0,109.0,164.0,69.0,93.0,61.0,256.0,860.0,64.0
1940,875.0,46.0,243.0,1317.0,300.0,121.0,338.0,489.0,221.0,251.0,276.0,278.0,372.0,296.0
1950,1333.0,92.0,881.0,2647.0,621.0,386.0,981.0,677.0,340.0,444.0,470.0,1139.0,525.0,531.0
1960,2010.0,157.0,1328.0,2653.0,920.0,411.0,1180.0,922.0,505.0,439.0,412.0,1641.0,1048.0,433.0
1970,4971.0,209.0,2056.0,2504.0,1160.0,688.0,1063.0,980.0,422.0,552.0,242.0,2390.0,1957.0,222.0
1980,4490.0,190.0,3953.0,3938.0,1758.0,1221.0,1991.0,1459.0,660.0,1097.0,383.0,4849.0,2131.0,272.0
1990,3344.0,338.0,5825.0,3343.0,1970.0,1261.0,2883.0,2102.0,1053.0,1318.0,683.0,6920.0,1976.0,605.0
2000,1905.0,237.0,3034.0,1653.0,1469.0,642.0,3309.0,1717.0,798.0,769.0,1161.0,4744.0,949.0,1247.0
2010,2865.0,305.0,3209.0,2670.0,2466.0,1578.0,4335.0,2389.0,1172.0,1611.0,1930.0,5435.0,1304.0,2224.0
2020,633.0,76.0,617.0,691.0,563.0,369.0,754.0,496.0,244.0,356.0,346.0,998.0,267.0,386.0
