year,adult standards,blues,classical,folk,hard rock,hip hop,jazz,latin,pop,r&b,rap,rock,soul
1922,60.0,3.0,2.0,21.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,14.0,12.0
1923,43.0,22.0,4.0,9.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,9.0,48.0
1924,20.0,1.0,5.0,8.0,5.0,2.0,4.0,4.0,9.0,0.0,3.0,17.0,26.0
1925,52.0,0.0,6.0,12.0,3.0,4.0,9.0,0.0,12.0,3.0,5.0,12.0,26.0
1926,190.0,13.0,7.0,35.0,14.0,10.0,106.0,7.0,21.0,5.0,14.0,36.0,61.0
1927,57.0,0.0,8.0,13.0,4.0,9.0,24.0,8.0,6.0,0.0,10.0,5.0,23.0
1928,32.0,27.0,20.0,49.0,7.0,8.0,5.0,21.0,21.0,3.0,14.0,25.0,20.0
1929,118.0,39.0,141.0,62.0,16.0,1.0,28.0,4.0,6.0,4.0,1.0,30.0,96.0
1930,41.0,30.0,352.0,23.0,9.0,25.0,8.0,30.0,49.0,13.0,37.0,15.0,30.0
1931,79.0,19.0,64.0,29.0,11.0,2.0,4.0,0.0,8.0,8.0,2.0,21.0,68.0
1932,115.0,29.0,100.0,42.0,6.0,1.0,2.0,6.0,6.0,4.0,1.0,24.0,90.0
1933,74.0,13.0,21.0,31.0,10.0,1.0,7.0,6.0,4.0,6.0,1.0,27.0,104.0
1934,57.0,2.0,42.0,27.0,15.0,0.0,3.0,0.0,7.0,6.0,0.0,31.0,66.0
1935,65.0,1.0,38.0,19.0,11.0,9.0,6.0,17.0,26.0,4.0,17.0,31.0,21.0
1936,252.0,1.0,25.0,21.0,8.0,16.0,352.0,25.0,29.0,7.0,22.0,29.0,227.0
1937,106.0,20.0,72.0,23.0,12.0,1.0,62.0,5.0,13.0,4.0,2.0,23.0,111.0
1938,83.0,0.0,46.0,13.0,5.0,3.0,30.0,6.0,10.0,4.0,5.0,26.0,69.0
1939,140.0,52.0,153.0,66.0,9.0,4.0,72.0,14.0,12.0,10.0,6.0,29.0,74.0
1940,18.0,35.0,207.0,31.0,8.0,17.0,5.0,37.0,88.0,6.0,38.0,82.0,14.0
