year,adult standards,blues,classical,folk,hard rock,hip hop,jazz,latin,pop,r&b,rap,rock,soul
1941,89.0,67.0,41.0,17.0,7.0,4.0,82.0,26.0,33.0,6.0,10.0,21.0,48.0
1942,132.0,19.0,39.0,15.0,4.0,13.0,115.0,37.0,54.0,7.0,22.0,34.0,87.0
1943,122.0,7.0,116.0,6.0,2.0,1.0,114.0,1.0,4.0,1.0,2.0,5.0,32.0
1944,78.0,29.0,155.0,31.0,6.0,2.0,32.0,5.0,10.0,5.0,2.0,16.0,31.0
1945,128.0,66.0,69.0,49.0,5.0,14.0,30.0,56.0,47.0,9.0,33.0,14.0,31.0
1946,127.0,32.0,71.0,28.0,5.0,15.0,91.0,37.0,65.0,16.0,33.0,23.0,60.0
1947,89.0,13.0,61.0,12.0,10.0,21.0,30.0,27.0,65.0,15.0,30.0,18.0,50.0
1948,32.0,33.0,316.0,16.0,9.0,14.0,4.0,60.0,78.0,5.0,40.0,33.0,4.0
1949,60.0,14.0,242.0,7.0,13.0,20.0,57.0,52.0,45.0,14.0,41.0,32.0,15.0
1950,42.0,6.0,228.0,8.0,19.0,20.0,24.0,139.0,81.0,12.0,41.0,38.0,11.0
1951,61.0,51.0,170.0,58.0,13.0,22.0,31.0,58.0,50.0,11.0,33.0,45.0,20.0
1952,115.0,18.0,174.0,19.0,14.0,43.0,40.0,64.0,72.0,16.0,56.0,39.0,10.0
1953,107.0,26.0,217.0,11.0,24.0,36.0,41.0,51.0,105.0,23.0,38.0,63.0,27.0
1954,198.0,41.0,211.0,36.0,37.0,42.0,69.0,91.0,66.0,16.0,45.0,117.0,45.0
1955,186.0,37.0,378.0,67.0,43.0,43.0,103.0,101.0,83.0,21.0,52.0,176.0,72.0
1956,104.0,21.0,367.0,44.0,60.0,31.0,51.0,94.0,37.0,20.0,26.0,158.0,61.0
1957,156.0,49.0,286.0,62.0,62.0,32.0,37.0,129.0,28.0,24.0,27.0,152.0,95.0
1958,170.0,39.0,298.0,63.0,70.0,56.0,65.0,119.0,62.0,34.0,59.0,185.0,97.0
1959,194.0,14.0,318.0,33.0,66.0,61.0,70.0,135.0,93.0,39.0,67.0,166.0,87.0
1960,188.0,23.0,395.0,46.0,51.0,54.0,80.0,188.0,60.0,26.0,51.0,186.0,87.0
1961,226.0,17.0,336.0,28.0,50.0,65.0,127.0,192.0,173.0,35.0,68.0,135.0,109.0
1962,197.0,32.0,264.0,63.0,74.0,61.0,56.0,144.0,98.0,26.0,72.0,179.0,89.0
1963,175.0,12.0,200.0,53.0,54.0,43.0,82.0,115.0,108.0,40.0,47.0,162.0,107.0
1964,272.0,31.0,196.0,58.0,70.0,30.0,174.0,79.0,130.0,28.0,37.0,195.0,127.0
1965,158.0,37.0,346.0,70.0,50.0,50.0,65.0,141.0,80.0,82.0,57.0,199.0,113.0
1966,164.0,44.0,96.0,33.0,14.0,13.0,114.0,39.0,32.0,19.0,11.0,89.0,54.0
1967,227.0,53.0,270.0,46.0,52.0,16.0,104.0,92.0,57.0,42.0,19.0,150.0,151.0
1968,220.0,21.0,263.0,74.0,50.0,47.0,174.0,75.0,87.0,65.0,47.0,169.0,107.0
1969,183.0,24.0,287.0,46.0,54.0,32.0,86.0,115.0,97.0,76.0,30.0,177.0,104.0
1970,431.0,32.0,184.0,67.0,47.0,33.0,218.0,91.0,91.0,51.0,30.0,221.0,137.0
1971,457.0,16.0,134.0,78.0,43.0,34.0,318.0,123.0,67.0,37.0,35.0,163.0,149.0
1972,512.0,26.0,204.0,80.0,81.0,35.0,264.0,163.0,98.0,26.0,35.0,209.0,133.0
1973,494.0,54.0,232.0,93.0,63.0,53.0,261.0,94.0,121.0,88.0,45.0,234.0,177.0
1974,554.0,55.0,270.0,85.0,84.0,87.0,350.0,88.0,96.0,97.0,62.0,271.0,239.0
1975,444.0,65.0,393.0,89.0,78.0,55.0,262.0,99.0,96.0,51.0,40.0,236.0,230.0
1976,453.0,68.0,247.0,126.0,107.0,93.0,208.0,96.0,115.0,109.0,70.0,232.0,219.0
1977,558.0,38.0,213.0,120.0,151.0,86.0,362.0,99.0,102.0,99.0,76.0,264.0,211.0
1978,570.0,52.0,297.0,154.0,124.0,101.0,169.0,98.0,80.0,99.0,84.0,276.0,231.0
1979,498.0,73.0,330.0,142.0,115.0,111.0,195.0,112.0,114.0,95.0,75.0,284.0,231.0
1980,529.0,73.0,397.0,106.0,179.0,150.0,271.0,178.0,123.0,99.0,119.0,399.0,227.0
1981,621.0,66.0,361.0,142.0,191.0,120.0,192.0,208.0,141.0,80.0,99.0,403.0,242.0
1982,563.0,30.0,330.0,121.0,146.0,119.0,257.0,126.0,133.0,100.0,104.0,360.0,196.0
1983,433.0,26.0,341.0,117.0,111.0,139.0,174.0,145.0,115.0,130.0,93.0,380.0,228.0
1984,419.0,26.0,407.0,136.0,89.0,160.0,174.0,172.0,138.0,98.0,144.0,403.0,224.0
1985,445.0,38.0,511.0,179.0,135.0,143.0,154.0,247.0,135.0,96.0,146.0,503.0,183.0
1986,461.0,50.0,483.0,158.0,170.0,121.0,156.0,258.0,136.0,76.0,118.0,511.0,163.0
1987,385.0,38.0,393.0,147.0,180.0,77.0,127.0,189.0,148.0,78.0,80.0,567.0,192.0
1988,347.0,66.0,312.0,212.0,182.0,83.0,100.0,221.0,147.0,70.0,82.0,638.0,284.0
1989,287.0,72.0,403.0,220.0,227.0,109.0,63.0,247.0,243.0,72.0,112.0,685.0,192.0
1990,283.0,52.0,325.0,219.0,248.0,144.0,99.0,199.0,225.0,69.0,163.0,762.0,206.0
1991,316.0,70.0,345.0,241.0,353.0,158.0,134.0,305.0,203.0,68.0,161.0,806.0,183.0
1992,315.0,59.0,432.0,305.0,258.0,129.0,101.0,353.0,169.0,64.0,129.0,699.0,213.0
1993,250.0,43.0,306.0,207.0,185.0,62.0,90.0,137.0,113.0,35.0,62.0,492.0,183.0
1994,327.0,31.0,505.0,205.0,212.0,110.0,206.0,246.0,174.0,84.0,108.0,629.0,194.0
1995,356.0,50.0,443.0,202.0,206.0,110.0,198.0,284.0,204.0,62.0,119.0,688.0,190.0
1996,380.0,42.0,290.0,182.0,269.0,176.0,208.0,364.0,276.0,68.0,164.0,632.0,186.0
1997,402.0,46.0,302.0,178.0,269.0,112.0,201.0,339.0,197.0,100.0,126.0,643.0,232.0
1998,426.0,27.0,265.0,168.0,228.0,139.0,162.0,352.0,274.0,84.0,153.0,794.0,186.0
1999,289.0,66.0,130.0,166.0,269.0,121.0,109.0,304.0,267.0,51.0,133.0,775.0,203.0
2000,200.0,42.0,107.0,117.0,133.0,35.0,65.0,232.0,166.0,31.0,47.0,469.0,128.0
2001,161.0,34.0,106.0,93.0,133.0,41.0,70.0,235.0,115.0,22.0,47.0,472.0,100.0
2002,190.0,23.0,171.0,77.0,169.0,58.0,43.0,211.0,214.0,32.0,68.0,457.0,74.0
2003,128.0,29.0,153.0,85.0,159.0,61.0,63.0,465.0,150.0,45.0,64.0,459.0,93.0
2004,158.0,31.0,147.0,80.0,182.0,44.0,78.0,486.0,154.0,30.0,44.0,491.0,107.0
2005,163.0,37.0,180.0,79.0,191.0,46.0,88.0,310.0,128.0,31.0,65.0,460.0,57.0
2006,244.0,46.0,182.0,105.0,144.0,47.0,116.0,304.0,153.0,25.0,48.0,414.0,110.0
2007,193.0,29.0,245.0,77.0,162.0,63.0,128.0,338.0,195.0,35.0,68.0,433.0,85.0
2008,221.0,29.0,196.0,102.0,218.0,125.0,149.0,367.0,213.0,47.0,161.0,564.0,87.0
2009,247.0,25.0,166.0,117.0,203.0,122.0,156.0,361.0,229.0,49.0,157.0,525.0,108.0
2010,242.0,12.0,333.0,103.0,193.0,99.0,127.0,335.0,242.0,54.0,108.0,482.0,106.0
2011,366.0,38.0,364.0,97.0,214.0,122.0,214.0,347.0,143.0,31.0,116.0,526.0,127.0
2012,284.0,43.0,289.0,112.0,234.0,113.0,157.0,380.0,184.0,33.0,115.0,569.0,136.0
2013,339.0,30.0,293.0,84.0,253.0,109.0,134.0,473.0,192.0,40.0,129.0,550.0,172.0
2014,294.0,29.0,197.0,66.0,193.0,150.0,155.0,510.0,208.0,58.0,164.0,555.0,108.0
2015,263.0,49.0,185.0,71.0,201.0,165.0,93.0,547.0,262.0,61.0,165.0,532.0,116.0
2016,245.0,40.0,227.0,74.0,177.0,194.0,149.0,538.0,267.0,91.0,190.0,554.0,119.0
2017,197.0,64.0,201.0,100.0,234.0,185.0,108.0,426.0,248.0,60.0,195.0,629.0,124.0
2018,258.0,56.0,284.0,88.0,211.0,217.0,100.0,434.0,358.0,69.0,211.0,549.0,130.0
2019,377.0,58.0,297.0,71.0,195.0,224.0,217.0,345.0,285.0,98.0,218.0,489.0,166.0
2020,415.0,43.0,462.0,134.0,225.0,243.0,247.0,413.0,273.0,104.0,218.0,604.0,200.0
2021,218.0,11.0,229.0,65.0,123.0,126.0,91.0,341.0,223.0,65.0,138.0,394.0,67.0
